dept_no,dept_name,emp_no,first_name,last_name,to_date
d007,Sales,444621,Persi,Hardjono,1988-10-19
d007,Sales,444621,Persi,Hardjono,1988-10-19
d007,Sales,486537,Mayuri,Orlowska,1988-11-03
d007,Sales,486537,Mayuri,Orlowska,1988-11-03
d007,Sales,34049,Tadanori,Brookner,1988-11-12
d007,Sales,34049,Tadanori,Brookner,1988-11-12
d007,Sales,493378,Demos,Flexer,1988-11-25
d007,Sales,493378,Demos,Flexer,1988-11-25
d007,Sales,98199,Sadun,Felcyn,1988-11-28
d007,Sales,98199,Sadun,Felcyn,1988-11-28
d007,Sales,487543,Xiping,Menhoudj,1989-01-03
d007,Sales,487543,Xiping,Menhoudj,1989-01-03
d007,Sales,22894,Muzhong,Casley,1989-02-07
d007,Sales,22894,Muzhong,Casley,1989-02-07
d007,Sales,32349,Hairong,DiGiano,1989-03-04
d007,Sales,32349,Hairong,DiGiano,1989-03-04
d007,Sales,80937,Chikako,Jiang,1989-03-08
d007,Sales,80937,Chikako,Jiang,1989-03-08
d007,Sales,276143,Vishv,Hedayat,1989-03-12
d007,Sales,276143,Vishv,Hedayat,1989-03-12
d007,Sales,470386,Yongmin,dAstous,1989-03-31
d007,Sales,470386,Yongmin,dAstous,1989-03-31
d007,Sales,219017,Atilio,Cangellaris,1989-04-07
d007,Sales,219017,Atilio,Cangellaris,1989-04-07
d007,Sales,452061,Ramya,Tramer,1989-04-08
d007,Sales,452061,Ramya,Tramer,1989-04-08
d007,Sales,231096,Debaprosad,Tyugu,1989-04-24
d007,Sales,231096,Debaprosad,Tyugu,1989-04-24
d007,Sales,203933,Bowen,Fortenbacher,1989-04-26
d007,Sales,203933,Bowen,Fortenbacher,1989-04-26
d007,Sales,401157,Zhanqiu,Sewelson,1989-05-03
d007,Sales,401157,Zhanqiu,Sewelson,1989-05-03
d007,Sales,416018,Fen,Aloia,1989-05-15
d007,Sales,416018,Fen,Aloia,1989-05-15
d007,Sales,99716,Luerbio,Casperson,1989-05-18
d007,Sales,99716,Luerbio,Casperson,1989-05-18
d007,Sales,63516,Toshimitsu,Steinauer,1989-06-09
d007,Sales,63516,Toshimitsu,Steinauer,1989-06-09
d007,Sales,261894,Nechama,Versino,1989-06-18
d007,Sales,261894,Nechama,Versino,1989-06-18
d007,Sales,75748,Xuejia,Varman,1989-07-18
d007,Sales,75748,Xuejia,Varman,1989-07-18
d007,Sales,431645,Boriana,Rusterholz,1989-07-30
d007,Sales,431645,Boriana,Rusterholz,1989-07-30
d007,Sales,452792,Dmitry,Bade,1989-08-30
d007,Sales,452792,Dmitry,Bade,1989-08-30
d007,Sales,98169,Bedrich,Luft,1989-09-19
d007,Sales,98169,Bedrich,Luft,1989-09-19
d007,Sales,287033,Pradeep,Pettey,1989-09-28
d007,Sales,287033,Pradeep,Pettey,1989-09-28
d007,Sales,495318,Reinhard,Kornatzky,1989-10-23
d007,Sales,495318,Reinhard,Kornatzky,1989-10-23
d007,Sales,499318,Hideyuki,Ozeki,1989-11-10
d007,Sales,499318,Hideyuki,Ozeki,1989-11-10
d007,Sales,427924,Brendon,Msuda,1989-11-26
d007,Sales,427924,Brendon,Msuda,1989-11-26
d007,Sales,433679,Serenella,Katzenelson,1989-12-14
d007,Sales,433679,Serenella,Katzenelson,1989-12-14
d007,Sales,228071,Taegyun,Laurillard,1990-02-04
d007,Sales,228071,Taegyun,Laurillard,1990-02-04
d007,Sales,80258,Hirochika,Hiyoshi,1990-02-05
d007,Sales,80258,Hirochika,Hiyoshi,1990-02-05
d007,Sales,425547,Remko,Hasham,1990-03-02
d007,Sales,425547,Remko,Hasham,1990-03-02
d007,Sales,72794,Kazuhisa,Awdeh,1990-03-16
d007,Sales,72794,Kazuhisa,Awdeh,1990-03-16
d007,Sales,19955,IEEE,Conry,1990-03-26
d007,Sales,19955,IEEE,Conry,1990-03-26
d007,Sales,65966,Jessie,Macedo,1990-04-19
d007,Sales,65966,Jessie,Macedo,1990-04-19
d007,Sales,225661,Hairong,Baer,1990-04-29
d007,Sales,225661,Hairong,Baer,1990-04-29
d007,Sales,70502,Jiann,Weedon,1990-05-16
d007,Sales,70502,Jiann,Weedon,1990-05-16
d007,Sales,417674,Felicidad,Felcyn,1990-06-15
d007,Sales,417674,Felicidad,Felcyn,1990-06-15
d007,Sales,407071,Cordelia,Matheson,1990-06-22
d007,Sales,407071,Cordelia,Matheson,1990-06-22
d007,Sales,217349,Atreyi,Zeleznik,1990-06-25
d007,Sales,217349,Atreyi,Zeleznik,1990-06-25
d007,Sales,44454,Toshimo,Besancenot,1990-06-28
d007,Sales,44454,Toshimo,Besancenot,1990-06-28
d007,Sales,41644,Georg,Marakhovsky,1990-06-30
d007,Sales,41644,Georg,Marakhovsky,1990-06-30
d007,Sales,13075,Rosella,Morrin,1990-09-02
d007,Sales,13075,Rosella,Morrin,1990-09-02
d007,Sales,473916,Leaf,Uludag,1990-09-13
d007,Sales,473916,Leaf,Uludag,1990-09-13
d007,Sales,435719,Gritta,Sidou,1990-09-16
d007,Sales,435719,Gritta,Sidou,1990-09-16
d007,Sales,106133,Guadalupe,Heijenga,1990-11-27
d007,Sales,106133,Guadalupe,Heijenga,1990-11-27
d007,Sales,256149,Tonia,Hiltgen,1990-12-09
d007,Sales,256149,Tonia,Hiltgen,1990-12-09
d007,Sales,36698,Aksel,Shackel,1990-12-24
d007,Sales,36698,Aksel,Shackel,1990-12-24
d007,Sales,441352,Christoper,Menyhert,1991-01-10
d007,Sales,441352,Christoper,Menyhert,1991-01-10
d007,Sales,498613,Adas,Hofmeyr,1991-01-29
d007,Sales,498613,Adas,Hofmeyr,1991-01-29
d007,Sales,14513,Samphel,Barreiro,1991-02-04
d007,Sales,14513,Samphel,Barreiro,1991-02-04
d007,Sales,73612,Toney,Lienhardt,1991-02-11
d007,Sales,73612,Toney,Lienhardt,1991-02-11
d007,Sales,19318,Xianlong,Halevi,1991-02-18
d007,Sales,19318,Xianlong,Halevi,1991-02-18
d007,Sales,224030,Atreyi,Sommen,1991-02-26
d007,Sales,224030,Atreyi,Sommen,1991-02-26
d007,Sales,274251,Heon,Kadhim,1991-03-20
d007,Sales,274251,Heon,Kadhim,1991-03-20
d007,Sales,15105,Sudhanshu,Itzigehl,1991-03-31
d007,Sales,15105,Sudhanshu,Itzigehl,1991-03-31
d007,Sales,468175,Girolamo,Ranft,1991-04-08
d007,Sales,468175,Girolamo,Ranft,1991-04-08
d007,Sales,24334,Zhilian,Brookman,1991-05-01
d007,Sales,24334,Zhilian,Brookman,1991-05-01
d007,Sales,282683,Danny,Biran,1991-05-02
d007,Sales,282683,Danny,Biran,1991-05-02
d007,Sales,281697,Nirmal,Rusterholz,1991-05-13
d007,Sales,281697,Nirmal,Rusterholz,1991-05-13
d007,Sales,107500,Karoline,Masada,1991-06-10
d007,Sales,107500,Karoline,Masada,1991-06-10
d007,Sales,213991,Miyeon,Erbe,1991-06-13
d007,Sales,213991,Miyeon,Erbe,1991-06-13
d007,Sales,440136,Bowen,Jenevein,1991-06-14
d007,Sales,440136,Bowen,Jenevein,1991-06-14
d007,Sales,41917,Fumitake,Schlumberger,1991-06-29
d007,Sales,41917,Fumitake,Schlumberger,1991-06-29
d007,Sales,10836,Jianhua,Leivant,1991-07-01
d007,Sales,10836,Jianhua,Leivant,1991-07-01
d007,Sales,230378,Brigham,Babu,1991-07-27
d007,Sales,230378,Brigham,Babu,1991-07-27
d007,Sales,436077,Mabo,Macedo,1991-10-02
d007,Sales,436077,Mabo,Macedo,1991-10-02
d007,Sales,10548,Ramalingam,Gunderson,1991-10-04
d007,Sales,10548,Ramalingam,Gunderson,1991-10-04
d007,Sales,244283,Inderjeet,Manderick,1991-10-19
d007,Sales,244283,Inderjeet,Manderick,1991-10-19
d007,Sales,95902,Adin,Mikschl,1991-11-13
d007,Sales,95902,Adin,Mikschl,1991-11-13
d007,Sales,245756,Munenori,Nitto,1991-11-21
d007,Sales,245756,Munenori,Nitto,1991-11-21
d007,Sales,404890,Snehasis,Schreiter,1991-12-19
d007,Sales,404890,Snehasis,Schreiter,1991-12-19
d007,Sales,32204,Garnet,Leppanen,1991-12-21
d007,Sales,32204,Garnet,Leppanen,1991-12-21
d007,Sales,485547,Ayonca,Verspoor,1992-01-02
d007,Sales,485547,Ayonca,Verspoor,1992-01-02
d007,Sales,292032,Herb,Siprelle,1992-01-15
d007,Sales,292032,Herb,Siprelle,1992-01-15
d007,Sales,279397,Elvis,Karcich,1992-01-30
d007,Sales,279397,Elvis,Karcich,1992-01-30
d007,Sales,402115,Izaskun,Rijckaert,1992-02-10
d007,Sales,402115,Izaskun,Rijckaert,1992-02-10
d007,Sales,222147,Hitomi,Bernatsky,1992-03-02
d007,Sales,222147,Hitomi,Bernatsky,1992-03-02
d007,Sales,10088,Jungsoon,Syrzycki,1992-03-21
d007,Sales,10088,Jungsoon,Syrzycki,1992-03-21
d007,Sales,418491,Aram,Constantine,1992-03-29
d007,Sales,418491,Aram,Constantine,1992-03-29
d007,Sales,410938,Kensyu,Borstler,1992-04-14
d007,Sales,410938,Kensyu,Borstler,1992-04-14
d007,Sales,105934,Gor,Langford,1992-04-30
d007,Sales,105934,Gor,Langford,1992-04-30
d007,Sales,419469,Subhankar,Angot,1992-05-05
d007,Sales,419469,Subhankar,Angot,1992-05-05
d007,Sales,433670,Mohamadou,Bresenham,1992-05-06
d007,Sales,433670,Mohamadou,Bresenham,1992-05-06
d007,Sales,28242,Thodoros,Vasanthakumar,1992-05-11
d007,Sales,28242,Thodoros,Vasanthakumar,1992-05-11
d007,Sales,275479,Georgi,Ratnakar,1992-05-14
d007,Sales,275479,Georgi,Ratnakar,1992-05-14
d007,Sales,470497,Unal,Reinhard,1992-06-05
d007,Sales,470497,Unal,Reinhard,1992-06-05
d007,Sales,264390,Abdelghani,Waeselynck,1992-06-20
d007,Sales,264390,Abdelghani,Waeselynck,1992-06-20
d007,Sales,449596,Shigeu,Ernst,1992-06-26
d007,Sales,449596,Shigeu,Ernst,1992-06-26
d007,Sales,279732,Sedat,Imataki,1992-07-20
d007,Sales,279732,Sedat,Imataki,1992-07-20
d007,Sales,270371,Moon,Capobianchi,1992-07-23
d007,Sales,270371,Moon,Capobianchi,1992-07-23
d007,Sales,21693,Palash,Schurmann,1992-07-28
d007,Sales,21693,Palash,Schurmann,1992-07-28
d007,Sales,473454,Yonghoan,Masaki,1992-08-18
d007,Sales,473454,Yonghoan,Masaki,1992-08-18
d007,Sales,255773,Ingemar,Emden,1992-08-23
d007,Sales,255773,Ingemar,Emden,1992-08-23
d007,Sales,55273,Chiranjit,Zockler,1992-09-22
d007,Sales,55273,Chiranjit,Zockler,1992-09-22
d007,Sales,257051,Remzi,Norsworthy,1992-09-26
d007,Sales,257051,Remzi,Norsworthy,1992-09-26
d007,Sales,469899,Make,Streng,1992-10-05
d007,Sales,469899,Make,Streng,1992-10-05
d007,Sales,269205,Fumitake,Junet,1992-10-18
d007,Sales,269205,Fumitake,Junet,1992-10-18
d007,Sales,91310,Gaurav,Kakkad,1992-12-01
d007,Sales,91310,Gaurav,Kakkad,1992-12-01
d007,Sales,285789,Uli,Welham,1992-12-15
d007,Sales,285789,Uli,Welham,1992-12-15
d007,Sales,403485,Jeane,Larfeldt,1993-01-02
d007,Sales,403485,Jeane,Larfeldt,1993-01-02
d007,Sales,18581,Mitsuyuki,Ranai,1993-02-02
d007,Sales,18581,Mitsuyuki,Ranai,1993-02-02
d007,Sales,267170,Tzu,Cheshire,1993-03-04
d007,Sales,267170,Tzu,Cheshire,1993-03-04
d007,Sales,46680,Phuoc,Fairtlough,1993-03-06
d007,Sales,46680,Phuoc,Fairtlough,1993-03-06
d007,Sales,76977,Sigeru,Stroustrup,1993-03-08
d007,Sales,76977,Sigeru,Stroustrup,1993-03-08
d007,Sales,269270,Manohar,Melton,1993-03-09
d007,Sales,269270,Manohar,Melton,1993-03-09
d007,Sales,29690,Eran,Fioravanti,1993-03-17
d007,Sales,29690,Eran,Fioravanti,1993-03-17
d007,Sales,456100,Monique,Lalonde,1993-03-20
d007,Sales,456100,Monique,Lalonde,1993-03-20
d007,Sales,52773,Shounak,Rissland,1993-03-21
d007,Sales,52773,Shounak,Rissland,1993-03-21
d007,Sales,41205,Charlene,Cusworth,1993-04-04
d007,Sales,41205,Charlene,Cusworth,1993-04-04
d007,Sales,470033,Carrsten,Ciolek,1993-04-06
d007,Sales,470033,Carrsten,Ciolek,1993-04-06
d007,Sales,73761,Mark,Birge,1993-04-11
d007,Sales,73761,Mark,Birge,1993-04-11
d007,Sales,98270,Kinh,Kawashimo,1993-04-22
d007,Sales,98270,Kinh,Kawashimo,1993-04-22
d007,Sales,280574,Shih,Orlowska,1993-05-18
d007,Sales,280574,Shih,Orlowska,1993-05-18
d007,Sales,209260,Maya,Ouhyoung,1993-06-04
d007,Sales,209260,Maya,Ouhyoung,1993-06-04
d007,Sales,44750,Bernice,Coors,1993-06-08
d007,Sales,44750,Bernice,Coors,1993-06-08
d007,Sales,245065,Ioana,Rosar,1993-06-26
d007,Sales,245065,Ioana,Rosar,1993-06-26
d007,Sales,104223,Mantis,Waymire,1993-06-30
d007,Sales,204029,Shaowen,Litzkow,1993-06-30
d007,Sales,204029,Shaowen,Litzkow,1993-06-30
d007,Sales,104223,Mantis,Waymire,1993-06-30
d007,Sales,288578,Boguslaw,Birrer,1993-07-02
d007,Sales,288578,Boguslaw,Birrer,1993-07-02
d007,Sales,486315,Sadok,Chorvat,1993-07-04
d007,Sales,486315,Sadok,Chorvat,1993-07-04
d007,Sales,23620,Clyde,Reeker,1993-07-13
d007,Sales,23620,Clyde,Reeker,1993-07-13
d007,Sales,496623,Peer,Honglei,1993-07-25
d007,Sales,496623,Peer,Honglei,1993-07-25
d007,Sales,66605,Chiranjit,Suermann,1993-07-28
d007,Sales,66605,Chiranjit,Suermann,1993-07-28
d007,Sales,215142,Danil,Kushner,1993-08-09
d007,Sales,215142,Danil,Kushner,1993-08-09
d007,Sales,53092,Tetsushi,England,1993-08-25
d007,Sales,53092,Tetsushi,England,1993-08-25
d007,Sales,428506,Qiwen,Conte,1993-08-26
d007,Sales,31131,Conal,Zolotykh,1993-08-26
d007,Sales,31131,Conal,Zolotykh,1993-08-26
d007,Sales,428506,Qiwen,Conte,1993-08-26
d007,Sales,233610,Mabo,Litzler,1993-08-30
d007,Sales,233610,Mabo,Litzler,1993-08-30
d007,Sales,264018,Djenana,Lorcy,1993-09-08
d007,Sales,264018,Djenana,Lorcy,1993-09-08
d007,Sales,228246,Bartek,Aloisi,1993-09-16
d007,Sales,228246,Bartek,Aloisi,1993-09-16
d007,Sales,26488,Zdislav,Perly,1993-09-20
d007,Sales,26488,Zdislav,Perly,1993-09-20
d007,Sales,210575,Oscar,Lung,1993-09-24
d007,Sales,210575,Oscar,Lung,1993-09-24
d007,Sales,492799,LiMin,Ramsak,1993-10-07
d007,Sales,492799,LiMin,Ramsak,1993-10-07
d007,Sales,485625,Huei,Michaels,1993-10-18
d007,Sales,485625,Huei,Michaels,1993-10-18
d007,Sales,68500,Leah,Stellhorn,1993-11-06
d007,Sales,68500,Leah,Stellhorn,1993-11-06
d007,Sales,89640,Sreekrishna,Muhling,1993-11-19
d007,Sales,89640,Sreekrishna,Muhling,1993-11-19
d007,Sales,456111,Vincent,Legleitner,1993-12-20
d007,Sales,456111,Vincent,Legleitner,1993-12-20
d007,Sales,437234,Gil,Sgarro,1994-01-01
d007,Sales,437234,Gil,Sgarro,1994-01-01
d007,Sales,403285,Geoff,Alameldin,1994-02-02
d007,Sales,403285,Geoff,Alameldin,1994-02-02
d007,Sales,496252,Marc,Weedman,1994-02-06
d007,Sales,496252,Marc,Weedman,1994-02-06
d007,Sales,233878,Shigenori,Vanwelkenhuysen,1994-02-24
d007,Sales,233878,Shigenori,Vanwelkenhuysen,1994-02-24
d007,Sales,229969,Zine,Walstra,1994-03-06
d007,Sales,229969,Zine,Walstra,1994-03-06
d007,Sales,432676,Leaf,Borovoy,1994-03-15
d007,Sales,432676,Leaf,Borovoy,1994-03-15
d007,Sales,19160,Tetsurou,Jervis,1994-04-28
d007,Sales,19160,Tetsurou,Jervis,1994-04-28
d007,Sales,57511,Weidon,Crabtree,1994-04-28
d007,Sales,57511,Weidon,Crabtree,1994-04-28
d007,Sales,254907,Zhensheng,Boyle,1994-05-06
d007,Sales,254907,Zhensheng,Boyle,1994-05-06
d007,Sales,299313,Shuzo,Sadowski,1994-05-08
d007,Sales,299313,Shuzo,Sadowski,1994-05-08
d007,Sales,220358,Geraldo,Magliocco,1994-05-14
d007,Sales,469153,Gad,Masaki,1994-05-14
d007,Sales,469153,Gad,Masaki,1994-05-14
d007,Sales,220358,Geraldo,Magliocco,1994-05-14
d007,Sales,70425,Mechthild,Businaro,1994-05-16
d007,Sales,70425,Mechthild,Businaro,1994-05-16
d007,Sales,219907,Huan,Tyugu,1994-05-19
d007,Sales,219907,Huan,Tyugu,1994-05-19
d007,Sales,238599,Tokuyasu,Breugel,1994-06-24
d007,Sales,238599,Tokuyasu,Breugel,1994-06-24
d007,Sales,90390,Marko,Kadhim,1994-06-30
d007,Sales,90390,Marko,Kadhim,1994-06-30
d007,Sales,458147,Erzsebet,Ramsey,1994-07-03
d007,Sales,458147,Erzsebet,Ramsey,1994-07-03
d007,Sales,497412,Kankanahalli,Kamble,1994-07-25
d007,Sales,497412,Kankanahalli,Kamble,1994-07-25
d007,Sales,65974,Fayez,Schicker,1994-07-30
d007,Sales,65974,Fayez,Schicker,1994-07-30
d007,Sales,467738,Kien,Zielinski,1994-08-16
d007,Sales,467738,Kien,Zielinski,1994-08-16
d007,Sales,66945,Perry,Kusakabe,1994-08-30
d007,Sales,66945,Perry,Kusakabe,1994-08-30
d007,Sales,405092,Yonghong,Hutton,1994-09-02
d007,Sales,405092,Yonghong,Hutton,1994-09-02
d007,Sales,20305,Gou,Birnbaum,1994-09-08
d007,Sales,20305,Gou,Birnbaum,1994-09-08
d007,Sales,293312,Zito,Pehl,1994-09-11
d007,Sales,293312,Zito,Pehl,1994-09-11
d007,Sales,237202,Hongzhu,Hettesheimer,1994-09-12
d007,Sales,237202,Hongzhu,Hettesheimer,1994-09-12
d007,Sales,48139,Perry,Bultermann,1994-09-29
d007,Sales,48139,Perry,Bultermann,1994-09-29
d007,Sales,277130,Bojan,Passino,1994-10-06
d007,Sales,277130,Bojan,Passino,1994-10-06
d007,Sales,81717,Toney,Anguita,1994-10-09
d007,Sales,81717,Toney,Anguita,1994-10-09
d007,Sales,291106,Masako,Gilg,1994-10-12
d007,Sales,291106,Masako,Gilg,1994-10-12
d007,Sales,483821,Arunachalam,Fujisaki,1994-10-23
d007,Sales,483821,Arunachalam,Fujisaki,1994-10-23
d007,Sales,60598,Izaskun,Sadowski,1994-10-31
d007,Sales,60598,Izaskun,Sadowski,1994-10-31
d007,Sales,71398,Sanjeeva,Krohn,1994-11-06
d007,Sales,71398,Sanjeeva,Krohn,1994-11-06
d007,Sales,20974,Hisao,Yavatkar,1994-11-23
d007,Sales,20974,Hisao,Yavatkar,1994-11-23
d007,Sales,52752,Barna,Rajcani,1994-12-09
d007,Sales,52752,Barna,Rajcani,1994-12-09
d007,Sales,217385,Sadun,Smailagic,1994-12-18
d007,Sales,217385,Sadun,Smailagic,1994-12-18
d007,Sales,87001,Sanjit,Maquelin,1995-01-03
d007,Sales,87001,Sanjit,Maquelin,1995-01-03
d007,Sales,40035,Anyuan,Kleiser,1995-01-08
d007,Sales,40035,Anyuan,Kleiser,1995-01-08
d007,Sales,74779,Beshir,Thibadeau,1995-01-24
d007,Sales,74779,Beshir,Thibadeau,1995-01-24
d007,Sales,103164,Valeska,Chiola,1995-02-02
d007,Sales,103164,Valeska,Chiola,1995-02-02
d007,Sales,213083,Wonhee,Nishimukai,1995-02-06
d007,Sales,213083,Wonhee,Nishimukai,1995-02-06
d007,Sales,30209,Yannis,Aloisi,1995-02-16
d007,Sales,30209,Yannis,Aloisi,1995-02-16
d007,Sales,35476,Frederique,Heinisuo,1995-02-28
d007,Sales,35476,Frederique,Heinisuo,1995-02-28
d007,Sales,223750,Shaibal,Dayana,1995-03-03
d007,Sales,223750,Shaibal,Dayana,1995-03-03
d007,Sales,44070,Luerbio,Onuegbe,1995-03-04
d007,Sales,44070,Luerbio,Onuegbe,1995-03-04
d007,Sales,278134,Sorina,Crouzet,1995-03-26
d007,Sales,278134,Sorina,Crouzet,1995-03-26
d007,Sales,445242,Goh,Conia,1995-03-30
d007,Sales,445242,Goh,Conia,1995-03-30
d007,Sales,486284,Venkatesan,Peternell,1995-04-15
d007,Sales,486284,Venkatesan,Peternell,1995-04-15
d007,Sales,428062,Shirish,Byoun,1995-05-19
d007,Sales,428062,Shirish,Byoun,1995-05-19
d007,Sales,491958,Basim,Lorin,1995-05-29
d007,Sales,491958,Basim,Lorin,1995-05-29
d007,Sales,232381,Siddarth,Tempesti,1995-06-06
d007,Sales,232381,Siddarth,Tempesti,1995-06-06
d007,Sales,55756,Alair,Warwick,1995-06-11
d007,Sales,55756,Alair,Warwick,1995-06-11
d007,Sales,43207,Itzchak,Shihab,1995-06-15
d007,Sales,43207,Itzchak,Shihab,1995-06-15
d007,Sales,413668,Kwangyoen,Vuskovic,1995-06-17
d007,Sales,413668,Kwangyoen,Vuskovic,1995-06-17
d007,Sales,494155,Byong,Schwabacher,1995-06-25
d007,Sales,494155,Byong,Schwabacher,1995-06-25
d007,Sales,444061,Gal,Merks,1995-07-01
d007,Sales,444061,Gal,Merks,1995-07-01
d007,Sales,299658,Jaber,Schiper,1995-07-22
d007,Sales,299658,Jaber,Schiper,1995-07-22
d007,Sales,255318,Uma,Thimonier,1995-07-24
d007,Sales,255318,Uma,Thimonier,1995-07-24
d007,Sales,462073,Alassane,Plump,1995-08-04
d007,Sales,462073,Alassane,Plump,1995-08-04
d007,Sales,100436,Subhankar,Gini,1995-08-04
d007,Sales,100436,Subhankar,Gini,1995-08-04
d007,Sales,494428,Manton,Selvestrel,1995-08-27
d007,Sales,494428,Manton,Selvestrel,1995-08-27
d007,Sales,298277,Mary,Uludag,1995-09-01
d007,Sales,298277,Mary,Uludag,1995-09-01
d007,Sales,257311,Bernardo,Cooke,1995-09-12
d007,Sales,257311,Bernardo,Cooke,1995-09-12
d007,Sales,253272,Amalendu,Uehara,1995-09-15
d007,Sales,253272,Amalendu,Uehara,1995-09-15
d007,Sales,230883,Pradeep,Kawashima,1995-09-17
d007,Sales,230883,Pradeep,Kawashima,1995-09-17
d007,Sales,232313,Raimond,Schiettecatte,1995-10-08
d007,Sales,232313,Raimond,Schiettecatte,1995-10-08
d007,Sales,470976,Snehasis,Dredge,1995-10-10
d007,Sales,470976,Snehasis,Dredge,1995-10-10
d007,Sales,486198,Jaroslava,Danner,1995-10-11
d007,Sales,486198,Jaroslava,Danner,1995-10-11
d007,Sales,240134,Lidong,Mattern,1995-10-18
d007,Sales,240134,Lidong,Mattern,1995-10-18
d007,Sales,268661,Mohammad,Zaccaria,1995-11-05
d007,Sales,268661,Mohammad,Zaccaria,1995-11-05
d007,Sales,498862,Zissis,Ranum,1995-11-14
d007,Sales,498862,Zissis,Ranum,1995-11-14
d007,Sales,429423,Mabhin,Servi,1995-12-06
d007,Sales,429423,Mabhin,Servi,1995-12-06
d007,Sales,497735,Serenella,Percebois,1995-12-15
d007,Sales,497735,Serenella,Percebois,1995-12-15
d007,Sales,420030,Arun,Vidal,1996-01-14
d007,Sales,420030,Arun,Vidal,1996-01-14
d007,Sales,499689,Kinh,Sommer,1996-01-27
d007,Sales,499689,Kinh,Sommer,1996-01-27
d007,Sales,16806,Sreekrishna,Dayana,1996-02-12
d007,Sales,16806,Sreekrishna,Dayana,1996-02-12
d007,Sales,439948,Toshimitsu,Hatcliff,1996-03-08
d007,Sales,439948,Toshimitsu,Hatcliff,1996-03-08
d007,Sales,24746,Tianruo,Tsukuda,1996-03-12
d007,Sales,24746,Tianruo,Tsukuda,1996-03-12
d007,Sales,290329,Branimir,Luks,1996-03-23
